pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150.0,v,9,1,37,1,,,,,229.7794853001833,230.77969010034576,230.77969010034576,230.77969010034576,230.77969010034576,230.77969010034576,231.779687799979,231.779687799979,v,1,0.7064730995334685,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,9,2,38,2,,,,,232.5131380003877,233.51280340040103,233.51280340040103,233.51280340040103,233.51280340040103,233.51280340040103,234.51279760012403,234.51279760012403,c,1,0.47840349981561303,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,9,3,39,3,,,,,235.0128875002265,236.0139538999647,236.0139538999647,236.0139538999647,236.0139538999647,236.0139538999647,237.01277060015127,237.01277060015127,z,1,0.4095672997646034,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,10,0,40,0,,,,,237.44607720011845,238.44600039999932,238.44600039999932,238.44600039999932,238.44600039999932,238.44600039999932,239.44603720027953,239.44603720027953,x,1,0.6382501996122301,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,10,1,41,1,,,,,240.11249160021544,241.11283770017326,241.11283770017326,241.11283770017326,241.11283770017326,241.11283770017326,242.11265640007332,242.11265640007332,v,1,0.700879099778831,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,10,2,42,2,,,,,242.84598920028657,243.84578029997647,243.84578029997647,243.84578029997647,243.84578029997647,243.84578029997647,244.84580769995227,244.84580769995227,c,1,0.6526369997300208,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-150.0,z,10,3,43,3,,,,,245.52899230038747,246.52917300025,246.52917300025,246.52917300025,246.52917300025,246.52917300025,247.5290345000103,247.5290345000103,z,1,0.4648699997924268,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
-50.0,x,11,0,44,0,,,,,248.01251140004024,249.0124878003262,249.0124878003262,249.0124878003262,249.0124878003262,249.0124878003262,250.01236970024183,250.01236970024183,x,1,0.5674137999303639,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
150.0,v,11,1,45,1,,,,,250.61233430029824,251.61228900030255,251.61228900030255,251.61228900030255,251.61228900030255,251.61228900030255,252.61240300023928,252.61240300023928,v,1,0.7790685999207199,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
50.0,c,11,2,46,2,,,,,253.412053800188,254.41273630037904,254.41273630037904,254.41273630037904,254.41273630037904,254.41273630037904,255.41200430039316,255.41200430039316,v,0,0.6433987994678319,260426,001,2022-10-06_22h08.04.920,Tutorial_04,2022.2.2,60.218218746219776,
